ID,Prix,Quantite,Remise,CA_Brut,CA_Net,TVA
1001,406.39,24,10,9753.36,8778.024000000001,1755.6048000000003
1002,201.25,38,0,7647.5,7647.5,1529.5
1003,187.81,48,0,9014.880000000001,9014.880000000001,1802.9760000000003
1004,121.29,49,15,5943.21,5051.7285,1010.3457000000001
1005,386.74,26,5,10055.24,9552.478,1910.4956
1006,350.81,36,5,12629.16,11997.702,2399.5404
1007,463.68,13,5,6027.84,5726.448,1145.2896
1008,285.73,22,15,6286.06,5343.151,1068.6302
1009,283.22,25,20,7080.500000000001,5664.4000000000015,1132.8800000000003
1010,451.69,13,5,5871.97,5578.3715,1115.6743000000001
1011,159.31,35,0,5575.85,5575.85,1115.17
1012,69.75,3,30,209.25,146.475,29.295
1013,382.8,47,30,17991.600000000002,12594.12,2518.8240000000005
1014,274.55,10,10,2745.5,2470.9500000000003,494.19000000000005
1015,99.66,42,30,4185.72,2930.004,586.0008
1016,195.4,21,15,4103.400000000001,3487.8900000000003,697.5780000000001
1017,481.56,18,30,8668.08,6067.656,1213.5312000000001
1018,329.24,32,30,10535.68,7374.976,1474.9952
1019,362.53,29,20,10513.369999999999,8410.696,1682.1392
1020,442.24,7,10,3095.6800000000003,2786.1120000000005,557.2224000000001
1021,370.23,37,15,13698.51,11643.7335,2328.7467
1022,114.8,24,10,2755.2,2479.68,495.936
1023,426.46,12,0,5117.5199999999995,5117.5199999999995,1023.5039999999999
1024,307.0,11,15,3377.0,2870.45,574.09
1025,107.2,48,5,5145.6,4888.32,977.664
1026,5.38,36,0,193.68,193.68,38.736000000000004
1027,238.49,48,10,11447.52,10302.768,2060.5536
1028,235.8,49,15,11554.2,9821.07,1964.214
1029,212.12,9,15,1909.08,1622.7179999999998,324.54359999999997
1030,126.17,43,0,5425.31,5425.31,1085.0620000000001
1031,113.71,44,0,5003.24,5003.24,1000.648
1032,58.1,3,30,174.3,122.01,24.402
1033,206.01,32,0,6592.32,6592.32,1318.464
1034,362.4,11,0,3986.3999999999996,3986.3999999999996,797.28
1035,174.33,46,30,8019.18,5613.4259999999995,1122.6852
1036,160.8,33,15,5306.400000000001,4510.4400000000005,902.0880000000002
1037,410.07,9,10,3690.63,3321.567,664.3134
1038,54.02,35,5,1890.7,1796.165,359.233
1039,266.35,34,5,9055.900000000001,8603.105000000001,1720.6210000000003
1040,428.16,37,10,15841.92,14257.728000000001,2851.5456000000004
1041,384.69,48,30,18465.12,12925.583999999999,2585.1168
1042,447.98,36,15,16127.28,13708.188,2741.6376
1043,46.43,25,5,1160.75,1102.7124999999999,220.5425
1044,36.95,38,30,1404.1000000000001,982.87,196.574
1045,244.02,33,30,8052.660000000001,5636.862,1127.3724
1046,104.62,45,10,4707.900000000001,4237.110000000001,847.4220000000001
1047,225.47,27,30,6087.69,4261.383,852.2766
1048,337.77,37,0,12497.49,12497.49,2499.498
1049,128.74,13,5,1673.6200000000001,1589.939,317.98780000000005
1050,147.63,42,5,6200.46,5890.437,1178.0874000000001
1051,337.72,22,30,7429.84,5200.888,1040.1776
1052,78.93,49,15,3867.57,3287.4345,657.4869
1053,478.33,29,0,13871.57,13871.57,2774.3140000000003
1054,254.8,20,30,5096.0,3567.2,713.44
1055,389.66,7,10,2727.6200000000003,2454.858,490.9716000000001
1056,417.46,46,15,19203.16,16322.686,3264.5372
1057,83.31,48,0,3998.88,3998.88,799.7760000000001
1058,180.05,49,15,8822.45,7499.0825,1499.8165000000001
1059,200.3,4,15,801.2,681.02,136.204
1060,172.28,2,20,344.56,275.648,55.12960000000001
1061,418.7,12,15,5024.4,4270.74,854.148
1062,427.01,37,15,15799.369999999999,13429.464499999998,2685.8929
1063,185.53,7,5,1298.71,1233.7745,246.75490000000002
1064,463.69,15,5,6955.35,6607.5825,1321.5165000000002
1065,418.35,16,15,6693.6,5689.56,1137.912
1066,98.92,14,10,1384.88,1246.392,249.27840000000003
1067,376.7,36,10,13561.199999999999,12205.08,2441.016
1068,213.83,40,15,8553.2,7270.22,1454.044
1069,456.65,39,5,17809.35,16918.882499999996,3383.7764999999995
